id, time1, time2, runtime, x1, y1, theta1, scale1, x2, y2, theta2, scale2
BARR, 1, 2, 207.890625, -10.693200, -16.586400, -0.023941, 0.998380, -13.355136, -12.954295, -0.015499, 1.000165
BARR, 1, 3, 179.593750, 14.713900, -14.285900, -0.011619, 0.998260, 10.889307, -10.407082, -0.009590, 1.001654
BARR, 2, 1, 276.796875, 10.693200, 16.586400, 0.023941, 1.001600, 13.578862, 12.936493, 0.015051, 0.999508
BARR, 2, 3, 268.281250, 20.775000, 5.507400, 0.012791, 0.998130, 23.411498, 2.504344, 0.007980, 1.003099
BARR, 3, 1, 161.406250, -14.713900, 14.285900, 0.011619, 1.001700, -11.172011, 11.041296, 0.010482, 0.998622
BARR, 3, 2, 195.859375, -20.775000, -5.507400, -0.012791, 1.001900, -23.988680, -2.864097, -0.006401, 0.998091
BIGNALL, 1, 2, 314.312500, 14.207000, -14.210900, -0.051052, 0.993790, 14.559543, -12.952818, -0.049476, 0.993858
BIGNALL, 1, 3, 441.218750, 14.493600, -55.607900, -0.005454, 0.995960, 13.987893, -55.485822, -0.004764, 0.997312
BIGNALL, 2, 1, 205.546875, -14.207000, 14.210900, 0.051052, 1.006200, -14.319664, 15.617049, 0.050535, 1.005712
BIGNALL, 2, 3, 322.812500, -6.345700, -43.275100, 0.052463, 1.007500, -3.952592, -42.673088, 0.045947, 1.005011
BIGNALL, 3, 1, 471.046875, -14.493600, 55.607900, 0.005454, 1.004100, -14.173087, 57.202744, 0.003641, 1.002354
BIGNALL, 3, 2, 446.390625, 6.345700, 43.275100, -0.052463, 0.992600, 2.332682, 41.720674, -0.048363, 0.995085
BORON, 1, 2, 328.125000, 5.384200, 61.581200, -0.002393, 1.003900, 5.028577, 62.583270, 0.000029, 1.005181
BORON, 1, 3, 368.187500, -63.478200, -1.727500, 0.050162, 1.003700, -66.946709, -4.593158, 0.045028, 1.013029
BORON, 2, 1, 260.750000, -5.384200, -61.581200, 0.002393, 0.996110, -4.913082, -62.218730, 0.000226, 0.994305
BORON, 2, 3, 489.328125, -133.294700, -135.430500, 0.042848, 1.002000, -145.057936, 25.270842, 0.008297, 1.010545
BORON, 3, 1, 155.562500, 63.478200, 1.727500, -0.050162, 0.996310, 66.954596, 6.622956, -0.037336, 0.982809
BORON, 3, 2, 753.187500, 133.294700, 135.430500, -0.042848, 0.998010, -81.690037, 139.992080, 0.064393, 0.956146
BUCHANAN, 1, 2, 355.593750, 7.323400, -25.661600, -0.054675, 0.999080, 5.663498, -24.146663, -0.054285, 1.004644
BUCHANAN, 1, 3, 265.921875, 46.261100, -43.729400, -0.076814, 0.993780, 40.428625, -43.018198, -0.075000, 1.003513
BUCHANAN, 2, 1, 450.421875, -7.323400, 25.661600, 0.054675, 1.000900, -6.974245, 24.228666, 0.054865, 0.998451
BUCHANAN, 2, 3, 467.218750, 37.500100, -21.444700, -0.024291, 0.998980, 36.816058, -22.301256, -0.023444, 0.996330
BUCHANAN, 3, 1, 265.500000, -46.261100, 43.729400, 0.076814, 1.006300, -42.800330, 46.310464, 0.076434, 1.003589
BUCHANAN, 3, 2, 381.734375, -37.500100, 21.444700, 0.024291, 1.001000, -36.361482, 23.560278, 0.023265, 1.003406
CERVENKA, 1, 2, 135.531250, 20.910100, 5.545200, -0.016342, 0.999350, 19.377017, 1.670585, -0.013065, 1.001055
CERVENKA, 1, 3, 142.046875, 17.466100, -6.103100, -0.033302, 0.998270, 14.515379, -12.660676, -0.039680, 1.003728
CERVENKA, 2, 1, 377.984375, -20.910100, -5.545200, 0.016342, 1.000600, -19.936349, -0.841413, 0.012950, 0.998432
CERVENKA, 2, 3, 378.296875, -4.313200, -8.711600, -0.017126, 1.000000, -5.098485, -11.300476, -0.018371, 0.999510
CERVENKA, 3, 1, 321.000000, -17.466100, 6.103100, 0.033302, 1.001700, -14.322077, 8.402336, 0.017258, 0.987079
CERVENKA, 3, 2, 316.468750, 4.313200, 8.711600, 0.017126, 1.000000, 5.248476, 11.523960, 0.018621, 1.000231
COMBS, 1, 2, 258.343750, -62.054900, 38.550700, 0.093693, 1.027500, 7.412494, 28.993564, 0.066578, 0.982211
COMBS, 1, 3, 705.656250, -42.054400, 39.368100, 0.071043, 1.040000, -32.007973, 26.234534, 0.067833, 1.007301
COMBS, 2, 1, 382.843750, 62.054900, -38.550700, -0.093693, 0.973240, 63.192935, 17.662794, 0.028761, 0.974229
COMBS, 2, 3, 369.421875, 42.331200, -6.617900, -0.016972, 0.996530, 41.435510, -12.492480, -0.019907, 1.000735
COMBS, 3, 1, 407.343750, 42.054400, -39.368100, -0.071043, 0.961560, 40.418001, 28.268936, -0.024953, 1.022276
COMBS, 3, 2, 304.687500, -42.331200, 6.617900, 0.016972, 1.003500, -41.425850, 12.393450, 0.019720, 1.000490
COMISKY, 1, 2, 293.546875, -5.105300, 6.064300, 0.002841, 1.001800, -2.920893, 3.928957, 0.001591, 1.000236
COMISKY, 1, 3, 307.218750, -13.369600, 19.502100, 0.031510, 0.999550, -12.493996, 19.698403, 0.028918, 0.997338
COMISKY, 2, 1, 261.218750, 5.105300, -6.064300, -0.002841, 0.998210, 2.917570, -3.887085, -0.001350, 0.999710
COMISKY, 2, 3, 266.937500, -5.545900, 14.703700, 0.025908, 0.994900, -9.677325, 15.486318, 0.027137, 0.996958
COMISKY, 3, 1, 514.453125, 13.369600, -19.502100, -0.031510, 1.000500, 13.289131, -19.152725, -0.029048, 1.002371
COMISKY, 3, 2, 569.359375, 5.545900, -14.703700, -0.025908, 1.005100, 9.791332, -15.009637, -0.027129, 1.002569
GETTEL, 1, 2, 205.390625, -18.368700, 12.937000, 0.026568, 0.992710, -18.642143, 10.997030, 0.026842, 0.994300
GETTEL, 1, 3, 209.765625, -6.088800, -10.522400, 0.027433, 0.985180, -2.030600, -13.453011, 0.022720, 0.990057
GETTEL, 2, 1, 297.921875, 18.368700, -12.937000, -0.026568, 1.007300, 19.307745, -10.687236, -0.026812, 1.005629
GETTEL, 2, 3, 305.843750, 16.860300, -25.573400, -0.005377, 0.995390, 13.249944, -22.740114, -0.001150, 0.997719
GETTEL, 3, 1, 183.984375, 6.088800, 10.522400, -0.027433, 1.015000, 5.908668, 12.066549, -0.026201, 1.008478
GETTEL, 3, 2, 190.781250, -16.860300, 25.573400, 0.005377, 1.004600, -14.189242, 22.956034, 0.001333, 1.004220
KUKLA, 1, 2, 598.484375, -118.169400, 126.929300, 0.041796, 0.986170, -42.645309, 69.909981, -0.041471, 0.997077
KUKLA, 1, 3, 651.765625, -49.602700, 93.589300, 0.026560, 0.996520, -49.788139, 94.600136, 0.030856, 0.997160
KUKLA, 2, 1, 255.156250, 118.169400, -126.929300, -0.041796, 1.014000, -64.693104, -75.712920, 0.087281, 1.024981
KUKLA, 2, 3, 164.546875, 77.062400, -32.996700, -0.022433, 0.990520, 67.186121, -34.074253, -0.018220, 0.997022
KUKLA, 3, 1, 331.609375, 49.602700, -93.589300, -0.026560, 1.003500, 41.071143, -89.684282, -0.023098, 1.006896
KUKLA, 3, 2, 163.906250, -77.062400, 32.996700, 0.022433, 1.009600, -68.439882, 37.918964, 0.022358, 1.001922
LEMAY, 1, 2, 185.640625, -7.896900, 9.896900, 0.007214, 1.001400, -2.610793, 7.981516, 0.006501, 0.998872
LEMAY, 2, 1, 347.218750, 7.896900, -9.896900, -0.007214, 0.998610, 2.760581, -7.899659, -0.006223, 1.001604
REAM, 1, 2, 278.328125, 7.768900, 10.865700, 0.003146, 0.998390, 6.338743, 12.572051, 0.004684, 0.997064
REAM, 1, 3, 293.000000, 7.595600, -10.066400, -0.020484, 0.995850, 8.383101, -9.395554, -0.019181, 0.997578
REAM, 2, 1, 169.765625, -7.768900, -10.865700, -0.003146, 1.001600, -6.353293, -12.920024, -0.004872, 1.003229
REAM, 2, 3, 184.593750, -2.646300, -23.067800, -0.022223, 1.003200, 2.105819, -22.054684, -0.023880, 1.000458
REAM, 3, 1, 256.343750, -7.595600, 10.066400, 0.020484, 1.004200, -7.997421, 9.746326, 0.019420, 1.002360
REAM, 3, 2, 285.671875, 2.646300, 23.067800, 0.022223, 0.996860, -1.852081, 22.022119, 0.024100, 0.999950
RHOADES, 1, 2, 216.250000, 19.039300, -5.731300, 0.021926, 1.000600, 18.664694, -6.594254, 0.021916, 1.001826
RHOADES, 2, 1, 362.937500, -19.039300, 5.731300, -0.021926, 0.999400, -19.456886, 5.666195, -0.022847, 0.999121
VINCENT, 1, 2, 491.468750, -45.848400, 7.228700, 0.020336, 1.001700, -47.792206, 7.034580, 0.018372, 1.001823
VINCENT, 1, 3, 475.234375, 16.646600, -26.742500, -0.023391, 1.003700, 8.495907, -26.280666, -0.021514, 1.009738
VINCENT, 2, 1, 272.921875, 45.848400, -7.228700, -0.020336, 0.998290, 47.644500, -5.613946, -0.018258, 0.997899
VINCENT, 2, 3, 595.812500, -110.889000, 58.290700, 0.037571, 0.994110, 111.678896, -65.194245, -0.037141, 1.008712
VINCENT, 3, 1, 302.890625, -16.646600, 26.742500, 0.023391, 0.996320, -8.045174, 25.107029, 0.020780, 0.991640
VINCENT, 3, 2, 823.046875, 110.889000, -58.290700, -0.037571, 1.005900, -116.030497, 62.780577, 0.037721, 0.995060
WHITE, 1, 2, 317.843750, 11.858100, 18.457200, 0.056980, 0.994420, 10.894741, 20.381896, 0.056499, 0.994150
WHITE, 1, 3, 704.140625, -33.419100, -9.686700, 0.033297, 0.998470, -37.053036, -9.702768, 0.029942, 0.998222
WHITE, 2, 1, 398.734375, -11.858100, -18.457200, -0.056980, 1.005600, -9.076544, -20.350807, -0.056965, 1.006896
WHITE, 2, 3, 399.156250, -21.042000, -30.578300, -0.033570, 1.004400, -24.828639, -27.962692, -0.028308, 1.004686
WHITE, 3, 1, 656.546875, 33.419100, 9.686700, -0.033297, 1.001500, 27.022850, 22.542033, -0.026580, 1.000808
WHITE, 3, 2, 91.687500, 21.042000, 30.578300, 0.033570, 0.995640, 25.878944, 27.014026, 0.027783, 0.994520
FA_CUSTOM, 1, 2, 92.625000, -47.632000, 16.126500, 0.012118, 0.993660, -46.397991, 14.565777, 0.013762, 0.993523
FA_CUSTOM, 1, 3, 91.281250, 37.784300, 6.476800, 0.003157, 0.998580, 38.081061, 5.313792, 0.005920, 0.996224
FA_CUSTOM, 2, 1, 229.828125, 47.632000, -16.126500, -0.012118, 1.006400, 46.694866, -13.671471, -0.012855, 1.004966
FA_CUSTOM, 2, 3, 100.171875, 85.655600, -9.267100, -0.010592, 1.002500, 84.142888, -8.314215, -0.007151, 0.998529
FA_CUSTOM, 3, 1, 183.156250, -37.784300, -6.476800, -0.003157, 1.001400, -37.276809, -5.073117, -0.005999, 1.000579
FA_CUSTOM, 3, 2, 93.015625, -85.655600, 9.267100, 0.010592, 0.997530, -85.797313, 8.637062, 0.007974, 1.001933
